Chef~ Zipcode~ Number Of Stars~ Link 
Christophe Quéant~ 21200~ 1 star~ https://restaurant.michelin.fr/8zb6c2d4/le-carmin-beaune 
Frédéric Sandrini~ 57300~ 1 star~ https://restaurant.michelin.fr/2e9sbx2/quai-des-saveurs-hagondange 
Eric Vidal~ 24000~ 1 star~ https://restaurant.michelin.fr/2dwdwxo/lessentiel-perigueux 
Xavier Beaudiment~ 63830~ 2 stars~ https://restaurant.michelin.fr/2ev16nl/le-pre-xavier-beaudiment-durtol 
DavidBizet~ 75008~ 1 star~ https://restaurant.michelin.fr/2ab9sgk/le-taillevent-paris-08 
Philip Chronopoulos~ 75001~ 1 star~ https://restaurant.michelin.fr/2a7qx35/restaurant-du-palais-royal-paris-01 
André Taormina~ 38110~ 1 star~ https://restaurant.michelin.fr/2b416ek/ambroisie-saint-didier-de-la-tour 
Masafumi Hamano~ 71570~ 2 stars~ https://restaurant.michelin.fr/3ffziwd6/au-14-fevrier-platre-durand 
Florent Ladeyn~ 59299~ 1 star~ https://restaurant.michelin.fr/13ppe4f4/auberge-du-vert-mont-boeschepe 
Christian Morisset~ 06600~ 1 star~ https://restaurant.michelin.fr/2ejmich/le-figuier-de-st-esprit-antibes 
Benjamin Delpierre~ 62930~ 1 star~ https://restaurant.michelin.fr/2fa1zgi202/la-liegeoise-wimereux 
Alexandre Gauthier~ 62170~ 2 stars~ https://restaurant.michelin.fr/2a0ne3f/la-grenouillere-la-madelaine-sous-montreuil 
Jean-Yves Guého~ 44100~ 1 star~ https://restaurant.michelin.fr/2a32200/latlantide-1874-maison-gueho-nantes 
Jean-Louis Nomicos~ 75016~ 1 star~ https://restaurant.michelin.fr/2fdwgd3/nomicos-paris-16 
Sébastien Carmona Porto~ 75008~ 1 star~ https://restaurant.michelin.fr/3o59i9b/helen-paris-08 
David Gallienne~ 27620~ 1 star~ https://restaurant.michelin.fr/omm63qr/le-jardin-des-plumes-giverny 
Kei Kobayashi~ 75001~ 2 stars~ https://restaurant.michelin.fr/9tmwymw/kei-paris-01 
Mathew Hegarty~ 38860~ 1 star~ https://restaurant.michelin.fr/2bufvvg87/le-ptit-polyte-venosc 
Jérémie Le Calvez~ 29250~ 1 star~ https://restaurant.michelin.fr/2aw36e7/auberge-la-pomme-dapi-saint-pol-de-leon 
Emmanuel Hernandez~ 59300~ 1 star~ https://restaurant.michelin.fr/3yjthyc/le-musigny-valenciennes 
Yves Giustiniani~ 60350~ 1 star~ https://restaurant.michelin.fr/2ak8isu/auberge-la-bonne-idee-saint-jean-aux-bois 
Hugo Roellinger~ 35350~ 2 stars~ https://restaurant.michelin.fr/291q1xd/le-coquillage-saint-meloir-des-ondes 
Guillaume Sourrieu~ 13007~ 1 star~ https://restaurant.michelin.fr/29w1hx9/lepuisette-marseille-07 
Tomohiro Uido~ 78160~ 1 star~ https://restaurant.michelin.fr/2ahm97s/le-village-marly-le-roi 
Richard Rocle~ 07170~ 1 star~ https://restaurant.michelin.fr/2b9eb0t/auberge-de-montfleury-villeneuve-de-berg 
Pierre Troccaz~ 73130~ 1 star~ https://restaurant.michelin.fr/h43i086/le-clocher-des-peres-saint-martin-sur-la-chambre 
Jean-Baptiste Lavergne-Morazzani~ 78000~ 1 star~ https://restaurant.michelin.fr/d4dm7ddr/la-table-du-11-versailles 
Younghoon Lee~ 69006~ 1 star~ https://restaurant.michelin.fr/44ahwpa/le-passe-temps-lyon-06 
Paul BOCUSE~ 69660~ 3 stars~ https://restaurant.michelin.fr/29tbf1t/paul-bocuse-collonges-au-mont-dor 
Didier Goiffon~ 01960~ 1 star~ https://restaurant.michelin.fr/28zbkc6/la-marelle-peronnas 
Tristan Arhan~ 76200~ 1 star~ https://restaurant.michelin.fr/2dtoif7/les-voiles-dor-dieppe 
Katsuaki Okiyama~ 75010~ 1 star~ https://restaurant.michelin.fr/mfh3jse/abri-paris-10 
Takayuki Nameura~ 75014~ 1 star~ https://restaurant.michelin.fr/3615586/montee-paris-14 
Franck Charpentier~ 77400~ 1 star~ https://restaurant.michelin.fr/u1pjp7ux/le-quincangrogne-dampmart 
~ 21200~ 1 star~ https://restaurant.michelin.fr/28updvu/hostellerie-de-levernois-levernois 
Antoine Gras~ 73150~ 1 star~ https://restaurant.michelin.fr/2dpd99z/la-table-de-lours-val-disere 
Maxime Laurenson~ 75007~ 1 star~ https://restaurant.michelin.fr/2aaahmg/loiseau-rive-gauche-paris-07 
Le chef breton Julien Hennote~ 35800~ 1 star~ https://restaurant.michelin.fr/a6rns6u0/le-pourquoi-pas-dinard 
Serge Vieira~ 15110~ 2 stars~ https://restaurant.michelin.fr/2ey495p/serge-vieira-chaudes-aigues 
Patrick Henriroux~ 38200~ 2 stars~ https://restaurant.michelin.fr/2f4bg71/la-pyramide-patrick-henriroux-vienne 
Marc Fontanne~ 30400~ 1 star~ https://restaurant.michelin.fr/2d2wqpd/le-prieure-villeneuve-les-avignon 
Kosuke Nabeta~ 75005~ 1 star~ https://restaurant.michelin.fr/3yamflk/sola-paris-05 
Eric Jambon~ 38300~ 1 star~ https://restaurant.michelin.fr/28zo6i3/domaine-des-sequoias-ruy 
Pierre GAGNAIRE~ 75008~ 3 stars~ https://restaurant.michelin.fr/2abhfav/pierre-gagnaire-paris-08 
Jean-Jacques Prévôt~ 84300~ 1 star~ https://restaurant.michelin.fr/2947j86/maison-prevot-cavaillon 
Loic Le Bail~ 29681~ 1 star~ https://restaurant.michelin.fr/2cnbixn/le-brittany-roscoff 
Thierry Drapeau~ 85260~ 1 star~ https://restaurant.michelin.fr/2dnrb62/thierry-drapeau-saint-sulpice-le-verdon 
Raphaël Le Mancq~ 74170~ 1 star~ https://restaurant.michelin.fr/2di661r/le-serac-saint-gervais-les-bains 
Emmanuel Renaut~ 74120~ 3 stars~ https://restaurant.michelin.fr/29wzk9t/flocons-de-sel-megeve 
Jérôme Bansard~ 14430~ 1 star~ https://restaurant.michelin.fr/28wgjgo/le-pave-dauge-beuvron-en-auge 
Hervé Bourdon~ 56510~ 1 star~ https://restaurant.michelin.fr/2dy7rqn/le-petit-hotel-du-grand-large-portivy 
Éric Girardin~ 68000~ 1 star~ https://restaurant.michelin.fr/xha7r0xl/girardin-gastronomique-colmar 
Frédéric Garnier~ 04360~ 1 star~ https://restaurant.michelin.fr/2cbq46s/la-bastide-de-moustiers-moustiers-sainte-marie 
