Chef~ Zipcode~ Number Of Stars~ Link 
Christophe Bacquié~ 83330~ 3 stars~ https://restaurant.michelin.fr/2bmu0gi/christophe-bacquie-le-castellet 
Johan Thyriot~ 14360~ 1 star~ https://restaurant.michelin.fr/cns0apa3/1912-trouville-sur-mer 
Thibault Sombardier~ 75116~ 1 star~ https://restaurant.michelin.fr/2euo0rk/antoine-paris-16 
Lydia Egloff~ 57350~ 1 star~ https://restaurant.michelin.fr/29ifnwu/la-bonne-auberge-stiring-wendel 
Edouard Mignot~ 21190~ 1 star~ https://restaurant.michelin.fr/295xqfd/edem-chassagne-montrachet 
Michel Kayser~ 30128~ 2 stars~ https://restaurant.michelin.fr/2a57m2j/alexandre-garons 
Nicolas Conraux~ 29260~ 1 star~ https://restaurant.michelin.fr/2cj2itx/la-table-de-la-butte-plouider 
Gérard Bossé~ 49000~ 1 star~ https://restaurant.michelin.fr/2erjwfi/une-ile-angers 
Hugues Droz~ 25130~ 1 star~ https://restaurant.michelin.fr/2d32mvv/le-france-villers-le-lac 
Alain Périllat-Mercerot~ 73370~ 1 star~ https://restaurant.michelin.fr/28zmco9/atmospheres-le-bourget-du-lac 
Guilhem Sevin~ 84000~ 1 star~ https://restaurant.michelin.fr/28s2o1u/restaurant-christian-etienne-avignon 
Bruno Oger~ 06110~ 2 stars~ https://restaurant.michelin.fr/2f4ok2n/villa-archange-le-cannet 
Sven Chartier~ 75002~ 1 star~ https://restaurant.michelin.fr/2fe4uol/saturne-paris-02 
Nicolas Leclercq~ 60600~ 1 star~ https://restaurant.michelin.fr/297c2t4/loree-de-la-foret-etouy 
Patrick Jeffroy~ 29660~ 2 stars~ https://restaurant.michelin.fr/2bm9rwc/patrick-jeffroy-carantec 
Wilfrid Chaplain~ 63400~ 1 star~ https://restaurant.michelin.fr/2bqajf6/radio-chamalieres 
Guillaume Viala~ 12340~ 1 star~ https://restaurant.michelin.fr/2d4rcim/le-belvedere-bozouls 
Adeline Grattard~ 75001~ 1 star~ https://restaurant.michelin.fr/2ewldde/yamtcha-paris-01 
Yoric Tièche~ 06230~ 1 star~ https://restaurant.michelin.fr/2cqc8op/le-cap-saint-jean-cap-ferrat 
Guillaume Sanchez~ 75009~ 1 star~ https://restaurant.michelin.fr/4041136/neso-paris-09 
Stéphane Ringer et Rémi Gornet~ 88000~ 1 star~ https://restaurant.michelin.fr/29fq33a/les-ducs-de-lorraine-epinal 
Christophe Hay~ 41350~ 2 stars~ https://restaurant.michelin.fr/2dxwn73/la-maison-da-cote-montlivault 
Jean-Luc Tartarin~ 76600~ 2 stars~ https://restaurant.michelin.fr/2enmc29/jean-luc-tartarin-le-havre 
Pierre Marin~ 73370~ 1 star~ https://restaurant.michelin.fr/28zi7ln/lamartine-le-bourget-du-lac 
Bernard Mariller~ 69006~ 1 star~ https://restaurant.michelin.fr/29trkin/le-gourmet-de-seze-lyon-06 
~ 75016~ 3 stars~ https://restaurant.michelin.fr/2af46v7/le-pre-catelan-paris-16 
Phillipe Colinet~ 83990~ 1 star~ https://restaurant.michelin.fr/2css2bw/lolivier-saint-tropez 
Pascal Barbot~ 75016~ 2 stars~ https://restaurant.michelin.fr/2aeq3md/astrance-paris-16 
Tsuyoshi Arai~ 69005~ 1 star~ https://restaurant.michelin.fr/2f8f1gn/au-14-fevrier-lyon-05 
René Fieger~ 67000~ 1 star~ https://restaurant.michelin.fr/2ei9xex/umami-strasbourg 
Aurélien Véquaud~ 06160~ 1 star~ https://restaurant.michelin.fr/29odhbw/la-passagere-juan-les-pins 
Michel Husser et Joël Philipps~ 67520~ 1 star~ https://restaurant.michelin.fr/2c74pw3/le-cerf-marlenheim 
Ludovic Pouzelgues~ 44000~ 1 star~ https://restaurant.michelin.fr/5kf1f62/lulu-rouget-nantes 
Philippe Deschamps~ 11000~ 1 star~ https://restaurant.michelin.fr/2bmf006/domaine-dauriac-carcassonne 
Françoise Mutel~ 54000~ 1 star~ https://restaurant.michelin.fr/2elnjes/la-maison-dans-le-parc-nancy 
Sébastien Bonavita~ 85180~ 1 star~ https://restaurant.michelin.fr/2arajo6/cayola-chateau-dolonne 
Ruben & Pieter de Maesschalck~ 34360~ 1 star~ https://restaurant.michelin.fr/xh15qqss/la-table-de-castigno-assignan 
Mickael Pihours~ 49400~ 1 star~ https://restaurant.michelin.fr/2ayqw5m/le-gambetta-saumur 
Guillaume Foucault~ 41100~ 1 star~ https://restaurant.michelin.fr/3u9bmm3c/pertica-vendome 
Dominique et Julia Bucaille~ 04100~ 1 star~ https://restaurant.michelin.fr/nwxo8h9/dominique-bucaille-manosque 
Thomas Morel~ 33000~ 1 star~ https://restaurant.michelin.fr/28y19tl/le-pavillon-des-boulevards-bordeaux 
Gérald Passédat~ 13007~ 3 stars~ https://restaurant.michelin.fr/2c76rmd/le-petit-nice-marseille-07 
William Ledeuil~ 75006~ 1 star~ https://restaurant.michelin.fr/2a9xcsf/ze-kitchen-galerie-paris-06 
Dominique Bouchet~ 75008~ 1 star~ https://restaurant.michelin.fr/2doe0bh/dominique-bouchet-paris-08 
Jean-Michel Eblin~ 68340~ 1 star~ https://restaurant.michelin.fr/2aoyre2/maximilien-zellenberg 
Pascal Chaupitre et Christophe Lot~ 18000~ 1 star~ https://restaurant.michelin.fr/9trxkaz/le-cercle-bourges 
Nicolas Thomas~ 31590~ 1 star~ https://restaurant.michelin.fr/n3jledr/la-promenade-verfeil 
Thierry Merville~ 31320~ 1 star~ https://restaurant.michelin.fr/2b3ktxc/la-table-des-merville-castanet-tolosan 
Julien Machet~ 73125~ 1 star~ https://restaurant.michelin.fr/2dczscn/le-farcon-la-tania 
David Guitton~ 49380~ 1 star~ https://restaurant.michelin.fr/i1i7i9b/la-table-de-la-bergerie-le-champ-sur-layon 
Jean-Rémi Caillon~ 73120~ 2 stars~ https://restaurant.michelin.fr/am8q9hp/le-kintessence-courchevel-1850 
Jérôme Schilling~ 33210~ 1 star~ https://restaurant.michelin.fr/3803186/lalique-bommes 
Julien Razemon~ 78270~ 1 star~ https://restaurant.michelin.fr/2cmxk0v/le-domaine-de-la-corniche-rolleboise 
Andréas MAVROMMATIS~ 75005~ 1 star~ https://restaurant.michelin.fr/2a95vol/mavrommatis-paris-05 
LAISNEY Stanislas~ 22220~ 1 star~ https://restaurant.michelin.fr/2cz1lgu/aigue-marine-treguier 
Fabienne Eymard~ 75004~ 1 star~ https://restaurant.michelin.fr/2a8isn4/benoit-paris-04 
Geoffroy Maillard~ 75018~ 1 star~ https://restaurant.michelin.fr/2et2alx/la-table-deugene-paris-18 
Romain Barthe~ 69460~ 1 star~ https://restaurant.michelin.fr/2dckc0s/auberge-de-clochemerle-vaux-en-beaujolais 
Dimitri Droisneau~ 13260~ 2 stars~ https://restaurant.michelin.fr/2eb50c1n/la-villa-madie-cassis 
William Boquelet~ 27340~ 1 star~ https://restaurant.michelin.fr/2al6a9i/lauberge-de-la-pomme-les-damps 
Jérôme Nutile~ 30000~ 1 star~ https://restaurant.michelin.fr/cne1oxue/jerome-nutile-le-mas-de-boudan-nimes 
Laurent Trochain~ 78490~ 1 star~ https://restaurant.michelin.fr/2dnmje9/numero-3-le-tremblay-sur-mauldre 
Philippe Bélissent~ 75014~ 1 star~ https://restaurant.michelin.fr/2adr3mu/cobea-paris-14 
PatrickRaingeard~ 06360~ 1 star~ https://restaurant.michelin.fr/2e2m5rq/la-table-de-patrick-raingeard-eze-bord-de-mer 
Dan Bessoudo~ 13122~ 1 star~ https://restaurant.michelin.fr/2b7at88/dan-b-la-table-de-ventabren-ventabren 
Louis-Philippe Vigilant~ 21000~ 1 star~ https://restaurant.michelin.fr/2jd4ivca/loiseau-des-ducs-dijon 
ThibautRuggeri~ 49590~ 1 star~ https://restaurant.michelin.fr/9pbvgq6a/fontevraud-le-restaurant-fontevraud-labbaye 
Michel Guérard~ 40320~ 3 stars~ https://restaurant.michelin.fr/29g9pvw/les-pres-deugenie-michel-guerard-eugenie-les-bains 
Stéphane Laruelle~ 75008~ 1 star~ https://restaurant.michelin.fr/2abl39j/le-chiberta-paris-08 
Nicolas Pierantoni~ 83170~ 1 star~ https://restaurant.michelin.fr/2bn8o1t/hostellerie-de-labbaye-de-la-celle-la-celle 
Mourad Haddouche~ 21200~ 1 star~ https://restaurant.michelin.fr/2ef8rpt/loiseau-des-vignes-beaune 
Dorian Van Bronkhorst~ 63500~ 1 star~ https://restaurant.michelin.fr/akc6ovv/latelier-yssoirien-issoire 
~ 54000~ 1 star~ https://restaurant.michelin.fr/2jtf0iqj/transparence-la-table-de-patrick-frechin-nancy 
Thierry Verrat~ 16200~ 1 star~ https://restaurant.michelin.fr/29o99va/la-ribaudiere-bourg-charente 
Julien Lefebvre~ 33250~ 1 star~ https://restaurant.michelin.fr/2chq5p0/chateau-cordeillan-bages-pauillac 
Pascal Favre d'Anne~ 49000~ 1 star~ https://restaurant.michelin.fr/dekdkvvj/le-favre-danne-angers 
Christophe Roure~ 69006~ 2 stars~ https://restaurant.michelin.fr/6pz7edt2/le-neuvieme-art-lyon-06 
Eric Buisset~ 76690~ 1 star~ https://restaurant.michelin.fr/29783wk/au-souper-fin-frichemesnil 
Sébastien Corniau~ 05600~ 1 star~ https://restaurant.michelin.fr/2duw4bw/les-tables-de-gaspard-saint-crepin 
Gatien Demczyna~ 73120~ 2 stars~ https://restaurant.michelin.fr/29b4lr4/le-montgomerie-courchevel-1850 
Pierre Neveu~ 19100~ 1 star~ https://restaurant.michelin.fr/5f24ty3/la-table-dolivier-brive-la-gaillarde 
Lionel Giraud~ 11100~ 1 star~ https://restaurant.michelin.fr/2a3kuo9/la-table-saint-crescent-narbonne 
Eric Pras~ 71150~ 3 stars~ https://restaurant.michelin.fr/2bnef6m/maison-lameloise-chagny 
Marc Briand~ 22300~ 1 star~ https://restaurant.michelin.fr/30sfws39/lanthocyane-lannion 
Patrice Gahinet~ 56290~ 1 star~ https://restaurant.michelin.fr/2da93ps/avel-vor-port-louis 
Gregory Marchand~ 75002~ 1 star~ https://restaurant.michelin.fr/2f44u91/frenchie-paris-02 
~ 75008~ 1 star~ https://restaurant.michelin.fr/2feca5y/latelier-de-joel-robuchon-etoile-paris-08 
Nicolas Magie~ 33270~ 1 star~ https://restaurant.michelin.fr/2bj8gr9/le-saint-james-bouliac 
Gaëtan Gentil~ 69001~ 1 star~ https://restaurant.michelin.fr/cpiyfjc0/prairial-lyon 
Guillaume Momboisse~ 31000~ 1 star~ https://restaurant.michelin.fr/2b38wht/sept-toulouse 
Rodolphe Pottier~ 76000~ 1 star~ https://restaurant.michelin.fr/j9cof0s1/rodolphe-rouen 
Xabi et Patrice Ibarboure~ 64210~ 1 star~ https://restaurant.michelin.fr/28x2q9k/la-table-des-freres-ibarboure-bidart 
Jean-Baptiste Natali~ 52330~ 1 star~ https://restaurant.michelin.fr/298i34w/hostellerie-la-montagne-colombey-les-deux-eglises 
Frédéric Robert~ 75016~ 1 star~ https://restaurant.michelin.fr/2af5lql/la-grande-cascade-paris-16 
Martin Simonart~ 45290~ 1 star~ https://restaurant.michelin.fr/2bicgcl/auberge-des-templiers-les-bezards 
Mathieu Guibert~ 44770~ 2 stars~ https://restaurant.michelin.fr/2ciults/anne-de-bretagne-la-plaine-sur-mer 
Vivien Durand~ 33310~ 1 star~ https://restaurant.michelin.fr/4g00u3j8/le-prince-noir-vivien-durand-lormont 
Frédéric Bacquié~ 66190~ 1 star~ https://restaurant.michelin.fr/2dlsvt0/la-balette-collioure 
Alain Pavard~ 77860~ 1 star~ https://restaurant.michelin.fr/29ask7o/auberge-de-la-brie-couilly-pont-aux-dames 
Marco Viganò~ 42300~ 1 star~ https://restaurant.michelin.fr/3m56yu9/aux-anges-roanne 
Bernard Leray~ 68230~ 1 star~ https://restaurant.michelin.fr/2a2adlj/la-nouvelle-auberge-wihr-au-val 
Sébastien Grospellier~ 71570~ 1 star~ https://restaurant.michelin.fr/294fsc5/la-table-de-chaintre-chaintre 
Marc Duval~ 60540~ 1 star~ https://restaurant.michelin.fr/28vem1k/la-grange-de-belle-eglise-belle-eglise 
ChristopheDucros~ 30700~ 1 star~ https://restaurant.michelin.fr/1ss80t3t/la-table-duzes-uzes 
Lloyd Tropeano~ 84400~ 1 star~ https://restaurant.michelin.fr/jfxt32k/le-bistrot-de-lagarde-lagarde-dapt 
Raphaël Rego~ 75005~ 1 star~ https://restaurant.michelin.fr/3855601/oka-paris-05 
Takao Takano~ 69006~ 2 stars~ https://restaurant.michelin.fr/1fchzdq5/takao-takano-lyon-06 
Romain Gandolphe~ 84800~ 1 star~ https://restaurant.michelin.fr/29nsjme/le-vivier-lisle-sur-la-sorgue 
Eric Westermann~ 67000~ 1 star~ https://restaurant.michelin.fr/2b0sgrs/buerehiesel-strasbourg 
Joël Césari~ 39100~ 1 star~ https://restaurant.michelin.fr/2buz227/la-chaumiere-dole 
Nans Gaillard~ 13600~ 1 star~ https://restaurant.michelin.fr/akfvyg8/la-table-de-nans-la-ciotat 
Ludovic Turac~ 13002~ 1 star~ https://restaurant.michelin.fr/29w4kky/une-table-au-sud-marseille-02 
Sandrine Dupin~ 26600~ 1 star~ https://restaurant.michelin.fr/2d0la2d/maison-chabran-la-grande-table-pont-de-lisere 
Cyril Laugier~ 71570~ 1 star~ https://restaurant.michelin.fr/2armsjm/auberge-du-paradis-platre-durand 
Jean-Michel Turin~ 70170~ 1 star~ https://restaurant.michelin.fr/2alwjjs/chateau-de-vauchoux-vauchoux 
Jacky Louazé~ 51100~ 1 star~ https://restaurant.michelin.fr/2anjd1l/le-foch-reims 
Pierre Chrétien~ 76740~ 1 star~ https://restaurant.michelin.fr/28z3n7r/auberge-du-dun-le-bourg-dun 
Philippe Michel~ 71260~ 1 star~ https://restaurant.michelin.fr/2dcnkds/la-marande-mirande 
Stéphane Andrieux~ 46200~ 1 star~ https://restaurant.michelin.fr/2c38ubh/chateau-de-la-treyne-lacave 
Cyril Lignac~ 75015~ 1 star~ https://restaurant.michelin.fr/2dtfbbi/le-quinzieme-cyril-lignac-paris-15 
Nicolas Fages~ 14400~ 1 star~ https://restaurant.michelin.fr/2bgynqb/chateau-de-sully-sully 
Jean-Luc Rabanel~ 13200~ 2 stars~ https://restaurant.michelin.fr/2e06dui/latelier-de-jean-luc-rabanel-arles 
Michel Rochedy et Stéphane Buron~ 73120~ 2 stars~ https://restaurant.michelin.fr/2btao3c/le-chabichou-courchevel-1850 
~ 54300~ 1 star~ https://restaurant.michelin.fr/2c5ztru/chateau-dadomenil-luneville 
